SIOUX FALLS HOGS OPEN UP 1.50 DLR - PRIVATE|Hog prices opened 1.50 dlr higher, private sources said. Top 52.00 dlrs per cwt. Reuter
SILVER OPENS HIGHER IN ZURICH, GOLD UNCHANGED|Silver, trading at around two year highs, began sharply higher in relatively active trading, pulling platinum up a little in its wake, dealers said. However, gold began little changed. Silver began here at 6.74/79 dlrs an ounce, up 22 cents from the previous close here. It had briefly touched the 6.80 dlr level at the end of Far Eastern trading. The metal then fell back a little further, largely on profit-taking, but dealers said demand still remained good. However, it was not clear whether there could be a further slight downturn before the rise continued. Gold began at 421.8/422.2 dlrs an ounce, 3.70 dlrs above the New York close but just 25 cents above the previous close here. Platinum began 4.50 dlrs higher at 567/571 dlrs an ounce. REUTER
BODDIE-NOELL FILES FOR INITIAL PUBLIC OFFERING|<Boddie-Noell Restaurant Properties Inc> said it filed a registration statement with the Securities and Exchange Commission covering its initial public offering of 3,100,000 shares of common stock. The company said it plans to qualify as a real estate investment trust and buy 53 existing Hardee's restaurant properties located in Virginia and North Carolina. Reuter
DOLLAR OPENS LOWER IN NEW YORK|The dollar opened lower following the trend set earlier in the Far East and Europe, dealers said. Still, the U.S. currency remained well within recent trading ranges because few operators are prepared to go out on a limb ahead of today's meeting of Group of Five finance ministers and central bankers in Washington. The overnight sell-off was partly due to skepticism that this week's monetary talks will yield new or lasting measures to stabilise currencies. But whatever their opinions, U.S. dealers remained cautious of selling the dollar aggressively. The dollar opened at 145.10/20 yen, down from 145.85/90. The dollar's decline occurred despite renewed Bank of Japan intervention on its behalf in Tokyo, dealers noted. Dealers in Japan said the central bank bought dollars steadily for yen during Tokyo hours. "There were some large sell-orders in Tokyo, but apparently it wasn't too hectic," said a dealer at one major U.S. bank. "The tone still is very cautious ahead of the Washington meetings." The dollar also opened at 1.8220/30 marks, down from 1.8260/70 at last night's close, and at 1.5120/30 Swiss francs, down from 1.5180/90. Meanwhile, sterling prolonged its advance with the aid of more public opinion polls indicating the ruling Conservative party would retain power with a large majority in any general election. Sterling rose to 1.6186/91 dlrs, from 1.6175/85 on Monday, but eased slightly to about 2.953 marks from 2.955. Dealers did not detect any U.K. intervention to subdue the pound today. Some said the U.K. central bank may have bought dollars for yen in Europe, but this could not be confirmed. The dollar eased to 1.3071/76 Canadian dollars from 1.3080/85 yesterday, showing limited response to president Reagan's endorsement of efforts for U.S./Canada free trade. Reuter
US WEST <USW> HIKES DIVIDEND|Qtly div 82 cts vs 76 cts prior Pay May 1 Record April 16 Reuter
TYCO LABORATORIES <TYC> 3RD QTR FEB 28 NET|Shr primary 58 cts vs 66 cts Shr diluted 54 cts vs 66 cts Net 10.1 mln vs 11.4 mln Revs 266.2 mln vs 194.6 mln Avg shrs 17.4 mln vs 17.1 mln Nine mths Shr primary 1.78 dlrs vs 1.58 dlrs Shr diluted 1.65 dlrs vs 1.58 dlrs Net 30.9 mln vs 27.1 mln Revs 823.8 mln vs 511.0 mln Avg shrs 17.4 mln vs 17.3 mln NOTE: prior qtr and nine mths include 3.1 mln dlrs, or 18 cts per share, from gain on partial settlement on an insurance claim. nine mths 1987 includes seven cts gain for partial settlement on an insurance claim. Results of Flow Control operations have been included since its acquisition from ITT Corp on Jan 31 1986. nine mths prior includes extraordinary gain 2.3 mln dlrs, or 14 cts per share, for replacement of a pension plan. Reuter
SUBROTO SAYS EXTENSION OF TIN PACT IS UNREALISTIC|An extension of the International Tin Agreement (ITA) is unrealistic and the pact should be allowed to lapse, Indonesian Mines and Energy Minister Subroto told reporters. Asked about Jakarta's position for the quarterly session of the International Tin Council on April 8-9, Subroto said Indonesia had agreed to the formation of a study group to look into how to replace the pact. But he said that given the present disagreement between producers and consumers, there is unlikely to be any follow-up to the ITA. Asked by reporters if Indonesia would support an extension of the ITA, he said, "No one will propose that. It's also unrealistic to do so." Subroto played a key part in securing agreement between the seven member Association of Tin Producing Countries to introduce a quota system which limited their exports and consumption to 96,000 tonnes in the year starting March 1. Indonesia's quota was set at 24,516 tonnes. REUTER
NEW YORK COFFEE FUTURES CALLED LITTLE CHANGED|Coffee futures are expected to open little changed following London coffee prices. ----- U.S. State Dept. undersecretary Allen Wallis said U.S. will wait until September International Coffee Organization meeting to discuss export quotas again....Brazil's seamen strike officially ended....Brazil's IBC closed May registrations after two days, saying coffee exporters had registered 2.05 mln bags....Coffee "C" daily price limit now 6.0 cents a lb, expandable to 9.0 cents, from previous 4.0 to 6.0 cent limits...."Other milds" producers to meet May 4 in Guatemala....ICO member exports dropped to 21.4 mln bags in first five months (Oct/Feb) of 1986/87 year from 28.2 mln last year....Significant rain has fallen in Kenya coffee regions. Reuter
WAREHOUSE CLUB <WCLB> TO TAKE CHARGE|Warehouse Club Inc said it expects to take a one-time charge of about five mln dlrs on its June 30 third quarter results from closing of two unprofitable Chicago area units. The company said it will continue to operate 12 warehouses in Illinois, Indiana, Michigan, Ohio and Pennsylvania. It added that it expects future operating results to be improved because of the closing of the two warehouses. Reuter
STARTEL <STAS> TO HAVE LOSS, SALES DROP|StarTel Corp said it expects to report a first quartter loss on a 25 to 30 pct revenue fall from the year-earlier 2,524,000 dlrs. The company earned 64,000 dlrs in last year's first quarter. Reuter
HUTTON <EFH> ENDS PUROLATOR <PCC> BID|Emery Air Freight Corp said it has entered into an agreement with E.F. Hutton Group Inc EFH under which Hutton will terminate its merger agreement with Purolator Courier Corp and its pending 35-dlr-per-share tender offer, effective April 13. Under its merger agreement, Hutton has the right to unilaterally terminate the merger agreement under certain circumstances, including its receipt of less than 66-2/3 pct of Purolator shares or the start of a higher competing tender offer, such as Emery's competing 40 dlr per share offer for Purolator stock. Yesterday, Hutton's PC Acquisition Corp subsidiary extended its tender offer, which was to have expired at midnight, for two more days. It said it only about 450,000 shares, or 6.5 pct, of Purolator shares had been tendered and not withdrawn, down from an 11.5 pct interest held earlier. Emery's bid expires April 28. Emery said pending the termination of PC Acquisition's merger agreement, PC has released Purolator from an agreement not to discuss Emery's acquisition proposal with Emery. Emery said as a result it is renewing its request that Purolatr enter into merger negotiations with it. Emery said if it were to acquire 51 pct of Purolator shares or control of the Purolator board, it has agreed not to dispute PC Acquisition's right to receive fees that Purolator agreed to pay if PC were unsuccessful in acquiring control of Purolator due to the acquisition of control by another party. The company said it has also agreed to let Purolator pay all of PC Acquisition's documented expenses in connection with the merger agreement up to three mln dlrs and Emery has agreed to pay the amounts itself should Purolator fail to do so. Reuter
