MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
CHILI'S <CHLI> FILES FOR CONVERTIBLE DEBENTURES|Chili's Inc said it filed with the Securities and Exchange Commission a registration statement covering a 35 mln dlr issue of convertible subordinated debentures. Net proceeds will be used primarily to retire outstanding bank debt, Chili's said. The remainder will fund capital expenditures for additional restaurants and for general corporate purposes. The company currently operates 95 restaurants in 16 different states. Chili's named Goldman, Sachs and Co and Alex Brown and Sons Inc as underwriters. Reuter
U.S. FEB CONSUMER CREDIT ROSE 1.77 BILLION DLRS|U.S. consumer instalment credit rose a seasonally adjusted 1.77 billion dlrs in February after a revised rise of 789 mln dlrs in January, the Federal Reserve Board said. The annual rate of growth in February was 3.7 pct, up from 1.6 pct in January. Previously the Fed said consumer credit rose 536 mln dlrs in January. Among the credit categories, auto credit rose in February by 717 mln dlrs after increasing 416 mln dlrs in January, the Fed said. Revolving credit in February rose 1.04 billion dlrs after falling by 23 mln dlrs in January. Mobile home credit was down by 59 mln dlrs in February after rising 141 mln dlrs in January. The category referred to as "other," covering bank and credit union loans, increased by 74 mln dlrs in February after rising by 255 mln dlrs in January, the Fed said. Before seasonal adjustment, consumer credit outstanding totaled 576.05 billion dlrs at the end of February, compared with 530.41 billion dlrs at the end of February, 1986. Reuter
INDONESIA SEES CPO PRICE RISING SHARPLY|Indonesia expects crude palm oil (CPO) prices to rise sharply to between 450 and 550 dlrs a tonne FOB sometime this year because of better European demand and a fall in Malaysian output, Hasrul Harahap, junior minister for tree crops, told Indonesian reporters. Prices of Malaysian and Sumatran CPO are now around 332 dlrs a tonne CIF for delivery in Rotterdam, traders said. Harahap said Indonesia would maintain its exports, despite making recent palm oil purchases from Malaysia, so that it could possibly increase its international market share. Indonesia, the world's second largest producer of palm oil after Malaysia, has been forced to import palm oil to ensure supplies during the Moslem fasting month of Ramadan. Harahap said it was better to import to cover a temporary shortage than to lose export markets. Indonesian exports of CPO in calendar 1986 were 530,500 tonnes, against 468,500 in 1985, according to central bank figures. REUTER
MASON BEST FORMS ENERGY HOLDING COMPANY|<Mason Best Co> said it has formed <Meridian Energy Corp>, a privately-owned holding company structured to acquire operating companies ans assets in the oil and gas industry. Mason Best, a Texas-based merchant banking firm, said it is sponsor and largest shareholder of Meridian. The new company's chairman and chief executive officer is Ralph E. Bailey, who retired as vice-chairman of Du Pont Co <DD> and chairman of its Conoco Inc subsidiary on March 31. Meridian is headquartered in Dallas with an administrative office in Stamford, Conn. Reuter
UPPER PENINSULA POWER CO <UPEN> SETS PAYOUT|Qtly dividend 52-1/2 cts vs 52-1/2 cts Pay May one record April 17 Reuter
JEUMONT-SCHNEIDER SETS UP CANADIAN SUBSIDIARY|Jeumont-Schneider, a subsidiary of Schneider SA <SCHN.PA>, announced in a statement the creation of a Canadian subsidiary, Jeumont-Schneider of Canada. The new subsidiary will work on developing Jeumont-Schneider's Canadian sales, particularly for its electro-mechanical and electronics goods. The company also said it had signed a distribution agreement with <Beel Electronics> for sales of the French group's speed variators in Canada. Reuter
USDA ANNOUNCES WORLD MARKET RICE PRICES|The U.S. Agriculture Department announced the following prevailing world market prices of rice on a loan-rate basis, with previous prices -- -- Long grain whole kernels 5.87 cts per lb vs 5.70 -- Medium grain whole kernels 5.28 cts per lb vs 5.12 -- Short grain whole kernels 5.22 cts per lb vs 5.06 -- Broken kernels 2.94 cts per lb vs 2.85 The repayment rate for 1986-crop warehouse or farm-stored rice loans are the higher of the world price or 50 pct of the loan rate of 7.20 dlrs per cwt. The prices will remain in effect for a week, but new prices could be announced earlier if warranted, USDA said. Reuter
CONSOLIDATED-BATHURST SEES BETTER MARKET|(Consolidated-Bathurst Inc) said it expects improvement in the pulp and paper sector shown in the second half of 1986 to continue this year. The continued improvement would be due to good market demand, better product prices and high operating capacity, the company said in its annual report. Consolidated-Bathurst, which reported operating profit of 104 mln dlrs last year on sales of 2.02 billion dlrs, said its joint-venture acquisition of a market pulp mill at Castlegar, B.C. last year broadens its product range and will contribute to equity earnings. Last year's results were up from 1985 operating profit of 80 mln dlrs and sales of 1.73 billion dlrs. The company said it views its near-term prospects with improved optimism. It said results from its Bridgewater newsprint mill in the U.K. should improve greatly this year due to stronger capacity and production and more favorable market conditions. It said it anticipates a return to profitability in 1987 for its Diamond-Bathurst Inc (DBH) subsidiary, which lost 6.2 mln U.S. dlrs and underwent a reorganization last year, and expects higher sales and earnings for its other North American packaging divisions. Consolidated-Bathurst said the outlook for its Europa Carton unit is mixed. It said the effect of trade disputes between the United States and the European Economic Community on the West German economy and the higher value of the mark may lead to increased costs which could not be offset by price increases. Reuter
RONSON CORP <RONC> 4TH QTR DEC 31|Shr loss 21 cts vs loss seven cts Net loss 971,000 vs loss 318,000 Revs 8.3 mln vs 9.2 mln Year Shr loss 43 cts vs profit 14 cts Net loss 1.9 mln vs profit 606,000 Revs 32.5 mln vs 31.9 mln NOTE:1986 loss includes reserves of 329,000, 1985 includes tax benefit of 352,000, 96,000, and 570,000 dlrs.1986 4th qtr includes 850,000 dlrs writedowns, 499,000 dlr gain from sale. 1985 net includes extraordinary items of 108,000 and gain on sale of 1.6 mln dlrs , tax carryforward gain of 246,000 dlrs. Reuter
YEUTTER OPPOSES U.S. RETALIATORY POWER TRANSFER|U.S. Trade Representative Clayton Yeutter said President Reagan should have the authority and responsibility for deciding if and when to award import relief. "As the only nationally-elected official in the government, only the president can weigh all the factors that go into determining whether or not it is in the national economic interest to do so," he said in a prepared address to the University of Chicago's Graduate School of Business. Yeutter was commenting on proposed changes in the law which would transfer to the trade representative much of the current retaliatory power held by the White House, which has been the target of congressional dissatisfaction on trade issues. Reuter
