,0,1,2,3,4,5,6,7,8,9,10,11,12,13,label,
0,,,,,,,,,,,,,,,NoClass,0.4
1,,,,,,,,,,,,,,,NoClass,0.4
2,,0.442916887,,,,,,,,,,,,,class2,0.4
3,,,,,,0.910649884,,,,,,,,,class6,0.4
4,,,,,,,,,,,,0.773329828,,,class12,0.4
5,,,,,,,,,,,,,,,NoClass,0.4
6,,,,,,,,,,,,,,,NoClass,0.4
7,0.837805738,,,,,,,,,,,,,,class1,0.4
8,,,,,,,,,,0.517343968,,,,,class10,0.4
9,,,,,,,,,,,,,,,NoClass,0.4
10,,,,,,,,,,,,,,,NoClass,0.4
11,,,,,,,0.578085976,,,,,,,,class7,0.4
12,,,,,,,,,0.528990653,,,,,,class9,0.4
13,,,,,,,0.593961435,,,,,,,,class7,0.4
14,,0.429038426,,,,,,,,,,,,,class2,0.4
15,,,,,,,,,0.60801745,,,,,,class9,0.4
16,,,0.564365093,,,,,,,,,,,,class3,0.4
17,0.933673304,,,,,,,,,,,,,,class1,0.4
18,0.636285795,,,,,,,,,,,,,,class1,0.4
19,,0.429898038,,,,,,,,,,,,,class2,0.4
20,,,0.696449352,,,,,,,,,,,,class3,0.4
21,,0.588139652,,,,,,,,,,,,,class2,0.4
22,,,0.833658012,,,,,,,,,,,,class3,0.4
23,0.654104185,,,,,,,,,,,,,,class1,0.4
24,,,,,,,,,,,0.787922434,,,,class11,0.4
25,0.686433145,,,,,,,,,,,,,,class1,0.4
26,,,,,,,,,,,,,,,NoClass,0.4
27,,,,,0.804628464,,,,,,,,,,class5,0.4
28,,,,,,,,,,,,,0.933444117,,class13,0.4
29,,,,,,,,,0.583535011,,,,,,class9,0.4
30,,,,,,,0.766743422,,,,,,,,class7,0.4
31,,,,,,,0.586005501,,,,,,,,class7,0.4
32,,,,,,,,,0.9580731,,,,,,class9,0.4
33,,,0.592918898,,,,,,,,,,,,class3,0.4
34,,,,,,,,,,,0.668832059,,,,class11,0.4
35,,,,,,,,,,,,,,,NoClass,0.4
36,,,,0.46250822,,,,,,,,,,,class4,0.4
37,,,,,,,,,,,,,,,NoClass,0.4
38,,,,,,,,,,,,,,,NoClass,0.4
39,,,,,,,,,,,,,,0.451401744,class13,0.4
40,,,,,0.576077124,,,,,,,,,,class5,0.4
41,,,,,,,,,,,0.409983993,,,,class11,0.4
42,,,0.457152349,,,,,,,,,,,,class3,0.4
43,,,,,,,,,,,,,,0.515871239,class13,0.4
44,,,0.668617018,,,,,,,,,,,,class3,0.4
45,,,,,,0.648039217,,,,,,,,,class6,0.4
46,,,,,,,,,,,,,,,NoClass,0.4
47,,,,0.856492842,,,,,,,,,,,class4,0.4
48,0.568069894,,,,,,,,,,,,,,class1,0.4
49,,,,,0.964285702,,,,,,,,,,class5,0.4
50,,0.549929877,,,,,,,,,,,,,class2,0.4
51,,,,,,,0.723752046,,,,,,,,class7,0.4
52,,,,,,,,,,,,,,0.692948486,class13,0.4
53,0.787084854,,,,,,,,,,,,,,class1,0.4
54,,,,,,,,,,,,,0.498495113,,class13,0.4
55,,,,,,,,,,,,,,,NoClass,0.4
56,,,,,,,,,0.651791308,,,,,,class9,0.4
57,0.753697981,,,,,,,,,,,,,,class1,0.4
58,,,,,0.763744498,,,,,,,,,,class5,0.4
59,,,,,,,,,,,,,,0.433709862,class13,0.4
60,,,,,0.460139459,,,,,,,,,,class5,0.4
61,,,,0.4476521,,,,,,,,,,,class4,0.4
62,,0.642791685,,,,,,,,,,,,,class2,0.4
63,,,,,,,0.91023935,,,,,,,,class7,0.4
64,,,,,,,,,0.454190218,,,,,,class9,0.4
65,,,,,,,,,,,,0.418255316,,,class12,0.4
66,,,,,0.927740531,,,,,,,,,,class5,0.4
67,,,,,0.904490902,,,,,,,,,,class5,0.4
68,,,,,0.908163459,,,,,,,,,,class5,0.4
69,,,0.459221071,,,,,,,,,,,,class3,0.4
70,,,,,,,,,,,,,,,NoClass,0.4
71,,,,,,,,,,,,0.576055956,,,class12,0.4
72,,,,,,,,,,0.578167711,,,,,class10,0.4
73,,,,,,,,,,,,,,0.828473629,class13,0.4
74,,,,0.409897117,,,,,,,,,,,class4,0.4
75,,,,,,,,,0.497177577,,,,,,class9,0.4
76,,,,,,,,,,,,,,,NoClass,0.4
77,,,,,,0.535161308,,,,,,,,,class6,0.4
78,,,,,,,,,,,,,,,NoClass,0.4
79,0.933673122,,,,,,,,,,,,,,class1,0.4
80,,,,,0.98214278,,,,,,,,,,class5,0.4
81,,,,,,,0.603120179,,,,,,,,class7,0.4
82,,,,,,,,,,,,,,0.482446475,class13,0.4
83,,,,,,,0.669592976,,,,,,,,class7,0.4
84,0.512079178,,,,,,0.471748277,,,,,,,,class1,0.4
85,,,,,,,,0.445881108,,,,,,,class8,0.4
86,,,,,,,,,,,,0.559872863,,,class12,0.4
87,,,,,,,,,,,,,,0.582037733,class13,0.4
88,0.661654934,,,,,,,,,,,,,,class1,0.4
89,,,,,,,,,0.456113755,,,,,,class9,0.4
90,0.554717037,,,,,,,,,,,,,,class1,0.4
91,,,0.74247786,,,,,,,,,,,,class3,0.4
92,,,,,,,,,0.883282079,,,,,,class9,0.4
93,,,,,,,,,,,,0.487196121,,,class12,0.4
94,,,,,,,,,0.449989712,,,,,,class9,0.4
95,,,,,,,0.475302776,,,,,,,,class7,0.4
96,0.815618992,,,,,,,,,,,,,,class1,0.4
97,,,,,,,,,,0.723626244,,,,,class10,0.4
98,,0.612828022,,,,,,,,,,,,,class2,0.4
99,,,,,0.859870613,,,,,,,,,,class5,0.4
100,,,,,,,,,,,,,,,NoClass,0.4
101,0.729433369,,,,,,,,,,,,,,class1,0.4
102,,,,0.569378485,,,,,,,,,0.415315369,,class4,0.4
103,,,,,,,,,,,,,0.4184272,,class13,0.4
104,,,,,,,0.537539653,,,,,,,,class7,0.4
105,,,,,,0.962857003,,,,,,,,,class6,0.4
106,0.508604146,,,,,,,,,,,,,,class1,0.4
107,,0.486227285,,,,,,,,,,,,,class2,0.4
108,,,,,,,,,,0.896103056,,,,,class10,0.4
109,,,,,,,0.446818369,,,,,,,,class7,0.4
110,,,,,,,,,,,0.666166183,,,,class11,0.4
111,,,,,,,,,0.744578722,,,,,,class9,0.4
112,,,0.683904098,,,,,,,,,,,,class3,0.4
113,,,,,,,,,,,,0.457052781,,,class12,0.4
114,,,,,,,,,,,,,,,NoClass,0.4
115,,,0.408642925,,,,,,,,,,,,class3,0.4
116,,,,,,,,,,,,,,,NoClass,0.4
117,0.955782235,,,,,,,,,,,,,,class1,0.4
118,,,,0.505656384,,,,,,,,,,,class4,0.4
119,,,,,,,,,,,,,,,NoClass,0.4
120,,,,,0.977891136,,,,,,,,,,class5,0.4
121,,,0.576581219,,,,,,,,,,,,class3,0.4
122,,,,,,,,,,,,,,0.415856866,class13,0.4
123,,,,,,0.977891093,,,,,,,,,class6,0.4
124,0.731242061,,,,,,,,,,,,,,class1,0.4
125,,,,,,,,,0.706336905,,,,,,class9,0.4
126,,,,,,,,,,,0.404997702,,,,class11,0.4
127,0.953571348,,,,,,,,,,,,,,class1,0.4
128,0.646139865,,,,,,,,,,,,,,class1,0.4
129,,,0.550670312,,,,,,,,,,,,class3,0.4
130,,,,,,,,,,,,,,,NoClass,0.4
131,,,,,,,,,,,,,,,NoClass,0.4
132,,,,,,,,,,,,,,0.631222569,class13,0.4
133,,,,,,,0.749433982,,,,,,,,class7,0.4
134,,,,0.792454262,,,,,,,,,,,class4,0.4
135,,,,,,,,,,,,,,,NoClass,0.4
136,,,,,0.914252373,,,,,,,,,,class5,0.4
137,,,,,,,0.639548611,,,,,,,,class7,0.4
138,,,,,,,,,,,,,,,NoClass,0.4
139,,,,,,,,,,,0.411468585,,,,class11,0.4
