14579	  coffee

14580	
14581	  crude

14582	  acq

14583	  money-fx

14584	
14585	  copper

14586	
14587	
14588	  grain
  wheat
  barley
  oilseed
  rapeseed

14589	  gold

14590	  acq

14591	
14592	
14593	  acq

14594	
14595	
14596	  interest
  money-fx
  gnp

14597	
14598	
14599	  oilseed
  rapeseed

14600	  grain
  wheat

14601	  trade

14602	
14603	  acq

14604	
14605	  cpi

14606	  crude

14607	
14608	
14609	  earn

14610	  earn

14611	
14612	  earn

14613	  earn

14614	  money-supply

14615	  earn

14616	  coffee

14617	  acq

14618	
14619	  money-fx
  dlr

14620	  money-supply

14621	
14622	  money-fx
  dlr

14623	  dlr

14624	  acq

14625	  money-fx
  dlr

14626	  acq

14627	
14628	
14629	  money-supply
  interest

14630	  interest

14631	  acq

14632	  crude

14633	
14634	
14635	  grain
  corn

14636	  money-fx

14637	  sugar

14638	  tea

14639	
14640	  reserves

14641	  interest
  money-fx
  money-supply

14642	  money-fx
  dlr
  yen

14643	  money-fx
  dlr
  yen

14644	  money-fx
  dlr

14645	  sugar

14646	  trade
  money-fx
  yen

14647	  money-fx
  yen

14648	
14649	  interest

14650	  money-fx
  dlr

14651	  ship

14652	  trade

14653	  trade

14654	  acq

14655	  interest

14656	  money-fx
  yen

14657	  crude
  nat-gas
  pet-chem
  acq

14658	  nat-gas

14659	  acq

14660	  acq

14661	  trade

14662	  trade

14663	  gnp
  trade
  cpi
  jobs

14664	  acq

14665	
14666	  money-fx
  dlr
  yen

14667	  money-fx

14668	  hog
  livestock

14669	  income

14670	  grain
  corn
  sorghum

14671	  crude
  nat-gas

14672	
14673	  iron-steel

14674	  crude
  nat-gas

14675	  sugar

14676	  cpi

14677	  acq

14678	  crude
  nat-gas

14679	  crude
  fuel
  gas
  naphtha
  jet
  nat-gas

14680	  heat

14681	  acq

14682	
14683	  palm-oil
  veg-oil

14684	  bop
  ipi
  trade

14685	
14686	  crude
  nat-gas

14687	  lead
  zinc

14688	  acq
  crude

14689	
14690	
14691	  earn

14692	
14693	  acq

14694	
14695	  ship

14696	  copper
  nickel

14697	  bop
  gnp

14698	
14699	
14700	  acq
  gold

14701	  sugar

14702	
14703	  gas

14704	  money-fx
  dlr
  trade

14705	  acq

14706	  cpi

14707	  ipi

14708	
14709	  oilseed
  sunseed
  veg-oil
  sun-oil

14710	  oilseed
  rapeseed

14711	
14712	  acq

14713	  crude
  nat-gas
  gas
  pet-chem

14714	
14715	  veg-oil

14716	  money-fx
  dlr
  yen

14717	
14718	  sugar

14719	  money-fx
  bop
  coffee

14720	  silver

14721	  gnp
  jobs
  cpi

14722	  gnp
  bop

